Timestamp,AirQualityStationEoICode,AveragingTime,NO,PM10,SO2
2013-01-01 00:00:00,DESN025,hour,36.848,200.165,27.458
2013-01-01 01:00:00,DESN025,hour,42.785,205.237,10.514
2013-01-01 02:00:00,DESN025,hour,13.197000000000001,61.588,5.561
2013-01-01 03:00:00,DESN025,hour,16.865,27.727,4.948
2013-01-01 04:00:00,DESN025,hour,18.174,23.662,4.043
2013-01-01 05:00:00,DESN025,hour,7.524,21.248,4.075
2013-01-01 06:00:00,DESN025,hour,8.825,17.065,3.715
2013-01-01 07:00:00,DESN025,hour,31.846,16.227999999999998,4.107
2013-01-01 08:00:00,DESN025,hour,9.451,16.746,3.84
2013-01-01 09:00:00,DESN025,hour,17.027,20.398,4.003
2013-01-01 10:00:00,DESN025,hour,19.709,22.552,3.859
2013-01-01 11:00:00,DESN025,hour,30.898000000000003,21.435,3.792
2013-01-01 12:00:00,DESN025,hour,30.923000000000002,22.415,4.1389999999999985
2013-01-01 13:00:00,DESN025,hour,25.409000000000002,19.238,3.926
2013-01-01 14:00:00,DESN025,hour,31.721,19.62,4.165
2013-01-01 15:00:00,DESN025,hour,47.201,18.168,3.803
2013-01-01 16:00:00,DESN025,hour,34.253,17.637,3.824
2013-01-01 17:00:00,DESN025,hour,36.997,19.993,3.713
2013-01-01 18:00:00,DESN025,hour,35.076,17.410999999999998,3.697
2013-01-01 19:00:00,DESN025,hour,19.846,12.996,3.467
2013-01-01 20:00:00,DESN025,hour,17.451,10.35,3.401
2013-01-01 21:00:00,DESN025,hour,12.761,7.157,3.547
2013-01-01 22:00:00,DESN025,hour,13.222000000000001,6.323,3.744
2013-01-01 23:00:00,DESN025,hour,13.26,6.247000000000001,3.593
2013-01-02 00:00:00,DESN025,hour,4.923,7.143,4.013
2013-01-02 01:00:00,DESN025,hour,4.843999999999999,7.396,4.964
2013-01-02 02:00:00,DESN025,hour,4.3069999999999995,10.973,5.103
2013-01-02 03:00:00,DESN025,hour,5.706,11.937,5.452000000000001
2013-01-02 04:00:00,DESN025,hour,10.727,7.95,3.372
2013-01-02 05:00:00,DESN025,hour,30.236,7.915,3.153
2013-01-02 06:00:00,DESN025,hour,31.995,11.800999999999998,3.036
2013-01-02 07:00:00,DESN025,hour,59.013999999999996,12.437,3.025
2013-01-02 08:00:00,DESN025,hour,63.005,14.925999999999998,2.999
2013-01-02 09:00:00,DESN025,hour,54.685,16.805999999999994,2.77
2013-01-02 10:00:00,DESN025,hour,64.664,16.798,2.495
2013-01-02 11:00:00,DESN025,hour,66.535,20.894,2.82
2013-01-02 12:00:00,DESN025,hour,52.44,28.552,4.9460000000000015
2013-01-02 13:00:00,DESN025,hour,46.677,24.863000000000003,6.112
2013-01-02 14:00:00,DESN025,hour,58.552,24.25800000000001,6.86
2013-01-02 15:00:00,DESN025,hour,60.61,22.116,6.485
2013-01-02 16:00:00,DESN025,hour,62.257,21.829,4.7639999999999985
2013-01-02 17:00:00,DESN025,hour,53.562,18.594,4.9030000000000005
2013-01-02 18:00:00,DESN025,hour,52.626999999999995,19.126,4.274
2013-01-02 19:00:00,DESN025,hour,41.687,18.252,3.302
2013-01-02 20:00:00,DESN025,hour,30.47300000000001,18.265,2.932
2013-01-02 21:00:00,DESN025,hour,24.261999999999997,15.197,2.807
2013-01-02 22:00:00,DESN025,hour,19.846,14.786,2.687
2013-01-02 23:00:00,DESN025,hour,21.53,17.517,2.815
