Timestamp,AirQualityStationEoICode,AveragingTime,PM10,PM2.5
2013-01-01 23:00:00,DESN059,day,19.6,13.77
2013-01-02 23:00:00,DESN059,day,9.44,6.11
2013-01-03 23:00:00,DESN059,day,6.35,5.53
2013-01-04 23:00:00,DESN059,day,9.75,7.63
2013-01-05 23:00:00,DESN059,day,4.18,3.05
2013-01-06 23:00:00,DESN059,day,6.87,4.96
2013-01-07 23:00:00,DESN059,day,7.47,5.26
2013-01-08 23:00:00,DESN059,day,22.84,18.1
2013-01-09 23:00:00,DESN059,day,11.87,10.75
2013-01-10 23:00:00,DESN059,day,7.71,5.6
2013-01-11 23:00:00,DESN059,day,5.86,3.6
2013-01-12 23:00:00,DESN059,day,11.15,9.97
2013-01-13 23:00:00,DESN059,day,18.34,16.53
2013-01-14 23:00:00,DESN059,day,31.8,28.33
2013-01-15 23:00:00,DESN059,day,40.26,35.09
2013-01-16 23:00:00,DESN059,day,62.13,55.51
2013-01-17 23:00:00,DESN059,day,32.46,29.25
2013-01-18 23:00:00,DESN059,day,15.45,13.91
2013-01-19 23:00:00,DESN059,day,27.37,25.54
2013-01-20 23:00:00,DESN059,day,45.11,41.99
2013-01-21 23:00:00,DESN059,day,46.64,43.28
2013-01-22 23:00:00,DESN059,day,48.64,45.23
2013-01-23 23:00:00,DESN059,day,48.41,42.69
2013-01-24 23:00:00,DESN059,day,66.1,54.78
2013-01-25 23:00:00,DESN059,day,65.77,57.99
2013-01-26 23:00:00,DESN059,day,64.29,57.19
2013-01-27 23:00:00,DESN059,day,28.87,26.54
2013-01-28 23:00:00,DESN059,day,13.96,9.38
2013-01-29 23:00:00,DESN059,day,6.18,4.1
2013-01-30 23:00:00,DESN059,day,3.37,2.02
2013-01-31 23:00:00,DESN059,day,10.7,4.64
2013-02-01 23:00:00,DESN059,day,12.23,6.26
2013-02-02 23:00:00,DESN059,day,6.88,4.95
2013-02-03 23:00:00,DESN059,day,8.28,4.85
2013-02-04 23:00:00,DESN059,day,6.25,3.88
2013-02-05 23:00:00,DESN059,day,9.3,5.71
2013-02-06 23:00:00,DESN059,day,12.76,7.6
2013-02-07 23:00:00,DESN059,day,13.97,11.3
2013-02-08 23:00:00,DESN059,day,13.89,12.72
2013-02-09 23:00:00,DESN059,day,21.98,19.79
2013-02-10 23:00:00,DESN059,day,25.38,21.56
2013-02-11 23:00:00,DESN059,day,32.92,30.0
2013-02-12 23:00:00,DESN059,day,45.91,41.79
2013-02-13 23:00:00,DESN059,day,46.64,42.61
2013-02-14 23:00:00,DESN059,day,41.28,36.52
2013-02-15 23:00:00,DESN059,day,57.32,48.41
2013-02-16 23:00:00,DESN059,day,70.68,62.2
2013-02-17 23:00:00,DESN059,day,61.14,53.41
2013-02-18 23:00:00,DESN059,day,32.2,28.64
2013-02-19 23:00:00,DESN059,day,21.6,19.08
2013-02-20 23:00:00,DESN059,day,7.55,6.18
2013-02-21 23:00:00,DESN059,day,11.92,9.99
2013-02-22 23:00:00,DESN059,day,37.28,34.37
2013-02-23 23:00:00,DESN059,day,29.96,28.03
2013-02-24 23:00:00,DESN059,day,24.21,17.81
2013-02-25 23:00:00,DESN059,day,44.95,34.1
2013-02-26 23:00:00,DESN059,day,49.01,25.48
2013-02-27 23:00:00,DESN059,day,16.09,12.66
2013-02-28 23:00:00,DESN059,day,41.89,27.67
2013-03-01 23:00:00,DESN059,day,23.83,15.89
2013-03-02 23:00:00,DESN059,day,32.32,21.49
2013-03-03 23:00:00,DESN059,day,21.82,16.5
2013-03-04 23:00:00,DESN059,day,27.7,16.81
2013-03-05 23:00:00,DESN059,day,33.74,21.81
2013-03-06 23:00:00,DESN059,day,47.14,32.37
2013-03-07 23:00:00,DESN059,day,68.56,54.78
2013-03-08 23:00:00,DESN059,day,34.88,31.8
2013-03-09 23:00:00,DESN059,day,34.42,28.69
2013-03-10 23:00:00,DESN059,day,30.52,23.97
2013-03-11 23:00:00,DESN059,day,35.56,30.46
2013-03-12 23:00:00,DESN059,day,24.9,21.64
2013-03-13 23:00:00,DESN059,day,25.45,21.95
2013-03-14 23:00:00,DESN059,day,43.24,35.88
