Timestamp,AirQualityStationEoICode,AveragingTime,NO,O3,PM10
2013-01-01 00:00:00,DESN059,hour,4.244,48.246,110.95299999999999
2013-01-01 01:00:00,DESN059,hour,1.0,56.526,119.62799999999999
2013-01-01 02:00:00,DESN059,hour,1.0,54.75,15.052999999999999
2013-01-01 03:00:00,DESN059,hour,1.0,53.035,10.913
2013-01-01 04:00:00,DESN059,hour,1.0,52.995,11.457
2013-01-01 05:00:00,DESN059,hour,1.0,51.339,12.213
2013-01-01 06:00:00,DESN059,hour,1.0,51.917,10.606
2013-01-01 07:00:00,DESN059,hour,1.0,54.39100000000001,9.295
2013-01-01 08:00:00,DESN059,hour,1.0,56.885,9.652999999999999
2013-01-01 09:00:00,DESN059,hour,1.0,56.76600000000001,11.81
2013-01-01 10:00:00,DESN059,hour,1.0,56.965,12.437999999999999
2013-01-01 11:00:00,DESN059,hour,1.0,55.948,12.163
2013-01-01 12:00:00,DESN059,hour,1.0,57.364,10.704
2013-01-01 13:00:00,DESN059,hour,1.0,57.623999999999995,10.409
2013-01-01 14:00:00,DESN059,hour,1.0,58.302,10.838
2013-01-01 15:00:00,DESN059,hour,1.0,55.668,8.257
2013-01-01 16:00:00,DESN059,hour,1.0,51.478,11.065
2013-01-01 17:00:00,DESN059,hour,1.0,49.563,9.302
2013-01-01 18:00:00,DESN059,hour,1.0,50.201,8.549
2013-01-01 19:00:00,DESN059,hour,1.0,52.117,5.9220000000000015
2013-01-01 20:00:00,DESN059,hour,1.0,51.339,4.289
2013-01-01 21:00:00,DESN059,hour,1.0,50.92,3.248
2013-01-01 22:00:00,DESN059,hour,1.0,68.777,4.665
2013-01-01 23:00:00,DESN059,hour,1.0,66.722,2.299
2013-01-02 00:00:00,DESN059,hour,1.0,59.739,0.504
2013-01-02 01:00:00,DESN059,hour,1.0,60.776,5.955
2013-01-02 02:00:00,DESN059,hour,1.0,58.023,8.161
2013-01-02 03:00:00,DESN059,hour,1.0,58.64100000000001,8.302
2013-01-02 04:00:00,DESN059,hour,1.0,56.806000000000004,8.415
2013-01-02 05:00:00,DESN059,hour,1.0,54.351000000000006,8.859
2013-01-02 06:00:00,DESN059,hour,1.0,50.401,6.731
