Timestamp,AirQualityStationEoICode,AveragingTime,PM10
2013-01-01 23:00:00,DESN077,day,62.53
2013-01-02 23:00:00,DESN077,day,15.48
2013-01-03 23:00:00,DESN077,day,10.44
2013-01-04 23:00:00,DESN077,day,14.26
2013-01-05 23:00:00,DESN077,day,8.57
2013-01-06 23:00:00,DESN077,day,9.81
2013-01-07 23:00:00,DESN077,day,17.24
2013-01-08 23:00:00,DESN077,day,32.25
2013-01-09 23:00:00,DESN077,day,20.12
2013-01-10 23:00:00,DESN077,day,12.51
2013-01-11 23:00:00,DESN077,day,12.89
2013-01-12 23:00:00,DESN077,day,23.45
2013-01-13 23:00:00,DESN077,day,31.29
2013-01-14 23:00:00,DESN077,day,52.92
2013-01-15 23:00:00,DESN077,day,53.76
2013-01-16 23:00:00,DESN077,day,82.15
2013-01-17 23:00:00,DESN077,day,44.27
2013-01-18 23:00:00,DESN077,day,25.68
2013-01-19 23:00:00,DESN077,day,37.31
2013-01-20 23:00:00,DESN077,day,72.64
2013-01-21 23:00:00,DESN077,day,57.1
2013-01-22 23:00:00,DESN077,day,59.75
2013-01-23 23:00:00,DESN077,day,61.42
2013-01-24 23:00:00,DESN077,day,87.72
2013-01-25 23:00:00,DESN077,day,88.29
2013-01-26 23:00:00,DESN077,day,75.01
2013-01-27 23:00:00,DESN077,day,38.25
2013-01-28 23:00:00,DESN077,day,24.49
2013-01-29 23:00:00,DESN077,day,13.22
2013-01-30 23:00:00,DESN077,day,6.85
2013-01-31 23:00:00,DESN077,day,14.2
2013-02-01 23:00:00,DESN077,day,18.0
2013-02-02 23:00:00,DESN077,day,12.65
2013-02-03 23:00:00,DESN077,day,13.1
2013-02-04 23:00:00,DESN077,day,10.55
2013-02-05 23:00:00,DESN077,day,16.3
2013-02-06 23:00:00,DESN077,day,20.51
2013-02-07 23:00:00,DESN077,day,23.7
2013-02-08 23:00:00,DESN077,day,23.95
2013-02-09 23:00:00,DESN077,day,28.2
2013-02-10 23:00:00,DESN077,day,39.54
2013-02-11 23:00:00,DESN077,day,57.33
2013-02-12 23:00:00,DESN077,day,67.43
2013-02-13 23:00:00,DESN077,day,60.85
2013-02-14 23:00:00,DESN077,day,66.36
2013-02-15 23:00:00,DESN077,day,90.52
2013-02-16 23:00:00,DESN077,day,86.82
2013-02-17 23:00:00,DESN077,day,73.48
2013-02-18 23:00:00,DESN077,day,53.77
2013-02-19 23:00:00,DESN077,day,28.11
2013-02-20 23:00:00,DESN077,day,11.78
2013-02-21 23:00:00,DESN077,day,21.73
2013-02-22 23:00:00,DESN077,day,52.58
2013-02-23 23:00:00,DESN077,day,36.92
2013-02-24 23:00:00,DESN077,day,34.64
2013-02-25 23:00:00,DESN077,day,58.56
2013-02-26 23:00:00,DESN077,day,63.45
2013-02-27 23:00:00,DESN077,day,24.22
2013-02-28 23:00:00,DESN077,day,63.81
2013-03-01 23:00:00,DESN077,day,36.57
2013-03-02 23:00:00,DESN077,day,45.91
2013-03-03 23:00:00,DESN077,day,28.8
2013-03-04 23:00:00,DESN077,day,48.64
2013-03-05 23:00:00,DESN077,day,55.8
2013-03-06 23:00:00,DESN077,day,74.56
2013-03-07 23:00:00,DESN077,day,89.55
2013-03-08 23:00:00,DESN077,day,45.73
2013-03-09 23:00:00,DESN077,day,43.26
2013-03-10 23:00:00,DESN077,day,35.29
2013-03-11 23:00:00,DESN077,day,43.73
2013-03-12 23:00:00,DESN077,day,35.47
2013-03-13 23:00:00,DESN077,day,35.76
2013-03-14 23:00:00,DESN077,day,48.24
2013-03-15 23:00:00,DESN077,day,51.66
2013-03-16 23:00:00,DESN077,day,62.68
2013-03-17 23:00:00,DESN077,day,41.97
2013-03-18 23:00:00,DESN077,day,47.02
2013-03-19 23:00:00,DESN077,day,62.42
2013-03-20 23:00:00,DESN077,day,38.92
2013-03-21 23:00:00,DESN077,day,42.21
2013-03-22 23:00:00,DESN077,day,40.85
2013-03-23 23:00:00,DESN077,day,33.36
2013-03-24 23:00:00,DESN077,day,33.06
2013-03-25 23:00:00,DESN077,day,38.94
2013-03-26 23:00:00,DESN077,day,37.7
2013-03-27 23:00:00,DESN077,day,43.65
2013-03-28 23:00:00,DESN077,day,68.0
2013-03-29 23:00:00,DESN077,day,75.21
2013-03-30 23:00:00,DESN077,day,87.83
2013-03-31 23:00:00,DESN077,day,39.97
2013-04-01 23:00:00,DESN077,day,28.13
2013-04-02 23:00:00,DESN077,day,41.82
2013-04-03 23:00:00,DESN077,day,48.25
2013-04-04 23:00:00,DESN077,day,48.91
2013-04-05 23:00:00,DESN077,day,52.62
2013-04-06 23:00:00,DESN077,day,35.31
2013-04-07 23:00:00,DESN077,day,44.31
2013-04-08 23:00:00,DESN077,day,45.12
2013-04-09 23:00:00,DESN077,day,55.44
2013-04-10 23:00:00,DESN077,day,25.15
2013-04-11 23:00:00,DESN077,day,18.65
2013-04-12 23:00:00,DESN077,day,17.37
2013-04-13 23:00:00,DESN077,day,23.31
2013-04-14 23:00:00,DESN077,day,22.51
2013-04-15 23:00:00,DESN077,day,28.27
2013-04-16 23:00:00,DESN077,day,48.29
2013-04-17 23:00:00,DESN077,day,40.81
2013-04-18 23:00:00,DESN077,day,38.09
2013-04-19 23:00:00,DESN077,day,42.81
2013-04-20 23:00:00,DESN077,day,25.88
2013-04-21 23:00:00,DESN077,day,39.09
2013-04-22 23:00:00,DESN077,day,62.09
2013-04-23 23:00:00,DESN077,day,52.96
2013-04-24 23:00:00,DESN077,day,52.94
2013-04-25 23:00:00,DESN077,day,69.0
2013-04-26 23:00:00,DESN077,day,40.55
2013-04-27 23:00:00,DESN077,day,7.58
2013-04-28 23:00:00,DESN077,day,16.48
2013-04-29 23:00:00,DESN077,day,25.5
2013-04-30 23:00:00,DESN077,day,43.72
2013-05-01 23:00:00,DESN077,day,31.1
2013-05-02 23:00:00,DESN077,day,47.33
2013-05-03 23:00:00,DESN077,day,40.52
2013-05-04 23:00:00,DESN077,day,50.81
2013-05-05 23:00:00,DESN077,day,40.97
2013-05-06 23:00:00,DESN077,day,47.5
2013-05-07 23:00:00,DESN077,day,41.68
2013-05-08 23:00:00,DESN077,day,31.1
2013-05-09 23:00:00,DESN077,day,18.23
2013-05-10 23:00:00,DESN077,day,25.07
2013-05-11 23:00:00,DESN077,day,28.3
